Vertical	Horizoltal
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.03514392	0
0.07342474	0
0.1217517	0
0.1799138	0
0.2480162	0
0.3277297	0
0.4204322	0
0.5268292	0
0.6461319	0
0.7794485	0
0.9261062	0
1.245148	0
1.417331	0
1.603403	0
1.802119	0
2.002119	0
2.202119	0
2.402119	0
2.602119	0
2.802119	-0.01453218
3.202119	-0.09370916
3.402119	-0.1432405
3.602119	-0.2027101
3.802119	-0.272317
4.002119	-0.3533729
4.202119	-0.4478412
4.402119	-0.5553374
4.602118	-0.6761599
4.802118	-0.8102001
5.002118	-0.9570612
5.402118	-1.277223
5.602118	-1.451074
5.802117	-1.637925
6.002117	-1.837925
6.202117	-2.037925
6.402117	-2.237925
6.602117	-2.437925
6.802116	-2.637925
7.002116	-2.837925
7.402116	-3.237925
7.45	-3.437925
7.45	-3.637925
7.45	-3.837925
7.45	-4.037925
7.45	-4.237925
7.45	-4.437925
7.45	-4.637925
7.45	-4.837924
7.45	-5.237924
7.45	-5.437924
7.45	-5.637924
7.45	-5.837924
7.45	-6.037923
7.45	-6.237923
7.45	-6.437923
7.45	-6.637923
7.45	-6.837923
7.45	-7.237922
7.45	-7.437922
7.437043	-7.45
7.411618	-7.45
7.399038	-7.45
7.389096	-7.45
7.379158	-7.45
7.379158	-7.45
7.173659	-7.45
7.173659	-7.45
7.128043	-7.45
7.072438	-7.45
7.004866	-7.45
6.924676	-7.45
6.831019	-7.45
6.724605	-7.45
6.604652	-7.45
6.338283	-7.45
6.192116	-7.45
6.032038	-7.45
5.859491	-7.45
5.673728	-7.45
5.47452	-7.45
5.27452	-7.436553
4.874521	-7.409952
4.674521	-7.400008
4.474521	-7.390068
4.274521	-7.379898
4.074522	-7.368565
3.874521	-7.355501
3.674521	-7.341551
3.474521	-7.328323
3.274521	-7.315274
3.074521	-7.302271
2.874521	-7.289012
2.474521	-7.274654
2.274521	-7.261939
2.074521	-7.25
1.874521	-7.25
1.674521	-7.25
1.474521	-7.25
1.274521	-7.25
1.074521	-7.25
0.8745208	-7.25
0.4745209	-7.25
0.2745209	-7.25
0.07452089	-7.25
-0.1254791	-7.25
-0.3254791	-7.25
-0.5254791	-7.25
-0.7254791	-7.25
-0.9254791	-7.25
-1.125479	-7.25
-1.525479	-7.25
-1.725479	-7.25
-1.925479	-7.25
-2.125479	-7.25
-2.325479	-7.25
