Horizoltal	Vertical	H_Elipse	V_Elipse
0	0	0	0
0	0	0	0
-0.003447355	0.001402946	-0.04135441	0.01682973
-0.003447355	0.001402946	-0.04135441	0.01682973
0	0	0	0
0	0	0	0
-0.003447355	0.001402946	-0.04135441	0.01682973
-0.003447355	0.001402946	-0.04135441	0.01682973
-0.003447355	0.001402946	-0.04135441	0.01682973
-0.003447355	0.001402946	-0.04135441	0.01682973
-0.003447355	0.001402946	-0.04135441	0.01682973
-0.003447355	0.001402946	-0.04135441	0.01682973
-0.003447355	0.001402946	-0.04135441	0.01682973
-0.003447355	0.001402946	-0.04135441	0.01682973
-0.003447355	0.001402946	-0.04135441	0.01682973
-0.003447355	0.001402946	-0.04135441	0.01682973
-0.003421039	0.001384131	-0.04100486	0.0165903
-0.003421039	0.001384131	-0.04100486	0.0165903
-0.003421039	0.001384131	-0.04100486	0.0165903
-0.003421039	0.001384131	-0.04100486	0.0165903
-0.003421039	0.001384131	-0.04100486	0.0165903
-0.003421039	0.001384131	-0.04100486	0.0165903
-0.003447355	0.001402946	-0.04135441	0.01682973
-0.003447355	0.001402946	-0.04135441	0.01682973
-0.003447355	0.001402946	-0.04135441	0.01682973
-0.003447355	0.001402946	-0.04135441	0.01682973
-0.003394724	0.001402946	-0.04081335	0.01686704
-0.003394724	0.001402946	-0.04081335	0.01686704
-0.003368408	0.001421762	-0.04062412	0.01714692
-0.003368408	0.001421762	-0.04062412	0.01714692
-0.003368408	0.001421762	-0.04062412	0.01714692
-0.003368408	0.001421762	-0.04062412	0.01714692
-0.003368408	0.001421762	-0.04062412	0.01714692
-0.003368408	0.001421762	-0.04062412	0.01714692
-0.003394724	0.001440577	-0.04097487	0.01738799
-0.003394724	0.001440577	-0.04097487	0.01738799
-0.003394724	0.001440577	-0.04097487	0.01738799
-0.003394724	0.001440577	-0.04097487	0.01738799
-0.00347367	0.001421762	-0.04170412	0.01706935
-0.00347367	0.001421762	-0.04170412	0.01706935
-0.003552617	0.001402946	-0.04244	0.01675978
-0.003552617	0.001402946	-0.04244	0.01675978
-0.003842086	0.001233606	-0.04483634	0.01439592
-0.003842086	0.001233606	-0.04483634	0.01439592
-0.004526285	0.000781988	-0.0510371	0.008817472
-0.004526285	0.000781988	-0.0510371	0.008817472
-0.004631546	0.0007443504	-0.05212198	0.008376688
-0.004631546	0.0007443504	-0.05212198	0.008376688
