Horizoltal	Vertical
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0.01036355
0	0.03645302
0	0.07248326
0	0.175726
0	0.175726
0	0.2472282
0	0.3291162
0	0.4208545
0	0.522192
0	0.522192
0	0.6036655
0	0.6750756
0	0.7319251
0	0.7788326
0	0.815801
0	0.8627753
0	0.9196246
0	0.9864456
0	0.9864456
0	1.073114
0	1.169839
0	1.276543
0	1.3723
0	1.458116
0	1.458116
0	1.524052
0	1.580047
0	1.626103
0	1.662219
0	1.708459
0	1.708459
0	1.753403
0	1.787947
0	1.81301
0	1.828019
0	1.833202
0	1.833202
0	1.833202
0	1.833202
0	1.833202
0	1.833202
0	1.844153
0	1.865045
0	1.865045
0	1.906163
0	1.956876
0	2.017528
0	2.088527
0	2.169529
0	2.169529
0	2.272974
0	2.386744
0	2.510308
0	2.643574
0	2.787123
0	2.940666
0	2.940666
0	3.113692
0	3.296658
0	3.489565
0	3.689565
0	3.889565
0	4.089565
0	4.089565
0	4.289565
0	4.489565
0	4.680073
0	4.859134
0	5.028016
0	5.186022
0	5.186022
0	5.323949
0	5.452134
0	5.570322
0	5.678627
0	5.678627
0	5.766915
0	5.844923
0	5.913206
0	5.970653
0	6.018159
0	6.075604
0	6.075604
0	6.153261
0	6.240527
0	6.337989
0	6.445143
0	6.562306
0	6.562306
0	6.700478
0	6.848549
0	7.006556
0	7.174811
0	7.352697
0	7.352697
0	7.447766
0	7.45
0	7.45
0	7.45
0	7.440359
0	7.440359
0	7.420481
0	7.410542
0	7.4006
0	7.390625
0	7.38072
0	7.369304
0	7.369304
0	7.349423
0	7.339482
0	7.329543
0	7.319603
0	7.309663
0	7.309663
0	7.289783
0	7.279842
0	7.26872
0	7.25
0	7.23987
0	7.23987
0	7.21005
0	7.170052
0	7.120143
0	7.060503
0	6.990819
0	6.990819
0	6.900328
0	6.799681
0	6.689292
0	6.568895
0	6.438643
0	6.438643
0	6.288311
0	6.128239
0	5.957622
0	5.776586
0	5.585796
0	5.585796
0	5.385796
0	5.185796
0	4.985796
0	4.785797
0	4.585797
0	4.585797
0	4.385797
0	4.185797
0	3.985797
0	3.785797
0	3.585797
